ID;name;count;lat;lon
31110;20th St & Florida Ave NW;1532;38.91540;-77.04460
31213;17th & K St NW;1520;38.90275;-77.03862
31650;1st & M St SE;1510;38.87692;-77.00604
31245;7th & R St NW / Shaw Library;1509;38.91272;-77.02220
31285;22nd & P ST NW;1508;38.90939;-77.04873
31610;Eastern Market / 7th & North Carolina Ave SE;1497;38.88695;-76.99681
31267;17th St & Massachusetts Ave NW;1496;38.90814;-77.03837
31221;18th & M St NW;1493;38.90507;-77.04177
31299;Connecticut Ave & R St NW;1486;38.91264;-77.04564
31107;Lamont & Mt Pleasant NW;1480;38.93191;-77.03879
31602;Park Rd & Holmead Pl NW;1474;38.93080;-77.03146
31286;11th & O St NW;1462;38.90843;-77.02714
31222;New York Ave & 15th St NW;1454;38.89903;-77.03335
31102;11th & Kenyon St NW;1452;38.92946;-77.02782
31641;2nd St & Massachusetts Ave NE;1442;38.89497;-77.00314
31295;Potomac & M St NW;1437;38.90551;-77.06524
31120;10th & Florida Ave NW;1432;38.92039;-77.02567
31506;1st & Rhode Island Ave NW;1429;38.91541;-77.01228
31239;Rhode Island & Connecticut Ave NW;1423;38.90599;-77.03982
31215;Georgetown Harbor / 30th St NW;1422;38.90231;-77.05914
31283;14th & L St NW;1413;38.90366;-77.03174
31223;Convention Center / 7th & M St NW;1397;38.90573;-77.02227
31323;Woodley Park Metro / Calvert St & Connecticut Ave NW;1362;38.92339;-77.05183
31666;4th & G St SW;1358;38.88111;-77.01770
31655;New Jersey Ave & F St NW;1335;38.89711;-77.01162
31291;Vermont Ave & I St NW;1334;38.90114;-77.03445
31265;5th St & Massachusetts Ave NW;1322;38.90093;-77.01868
31264;6th St & Indiana Ave NW;1311;38.89462;-77.01995
31236;37th & O St NW / Georgetown University;1304;38.90776;-77.07165
31064;Gravelly Point;1302;38.86503;-77.03951
31619;Lincoln Park / 13th & East Capitol St NE ;1301;38.89046;-76.98836
31282;16th & R St NW;1294;38.91265;-77.03628
31225;C & O Canal & Wisconsin Ave NW;1285;38.90374;-77.06269
31312;Wisconsin Ave & O St NW;1280;38.90849;-77.06359
31531;MBT & Bryant St NE;1278;38.92240;-76.99605
31209;1st & N St SE;1277;38.87410;-77.00580
31251;12th & L St NW;1277;38.90381;-77.02841
31233;17th & K St NW / Farragut Square;1265;38.90207;-77.03833
31328;21st St & G st NW;1261;38.89830;-77.04691
31244;4th & E St SW;1260;38.88411;-77.01745
31135;16th & Harvard St NW;1251;38.92611;-77.03665
31133;20th & Columbia Rd NW;1249;38.91805;-77.04547
31231;14th & D St NW / Ronald Reagan Building;1235;38.89452;-77.03162
31611;13th & H St NE;1222;38.90043;-76.98825
31643;1st & D St SE;1220;38.88492;-77.00596
31503;Florida Ave & R St NW;1214;38.91259;-77.01349
31280;11th & S St NW;1206;38.91374;-77.02703
31651;11th & Park Rd NW;1204;38.93133;-77.02824
31287;10th St & L'Enfant Plaza SW;1193;38.88433;-77.02600
31205;21st & I St NW;1190;38.90071;-77.04644
31612;D St & Maryland Ave NE;1187;38.89484;-76.99592
31126;11th & Girard St NW;1185;38.92563;-77.02711
31625;3rd & G St SE;1184;38.88118;-77.00183
31639;2nd & G St NE;1161;38.89967;-77.00365
31649;14th & Newton St NW;1156;38.93199;-77.03297
31134;8th & V St NW;1155;38.91773;-77.02269
31113;Columbia Rd & Belmont St NW;1152;38.92067;-77.04368
31270;8th & D St NW;1149;38.89485;-77.02324
31130;7th & S St NW;1143;38.91417;-77.02160
31618;4th & East Capitol St NE;1136;38.88995;-77.00035
31238;14th & G St NW;1129;38.89815;-77.03191
31118;3rd & Elm St NW;1125;38.91762;-77.01597
31624;North Capitol St & F St NW;1121;38.89744;-77.00988
31131;14th & Otis Pl NW;1118;38.93439;-77.03269
31109;7th & T St NW;1116;38.91565;-77.02216
31115;Columbia Rd & Georgia Ave NW;1115;38.92812;-77.02379
31604;3rd & H St NW;1113;38.89941;-77.01527
31242;18th St & Pennsylvania Ave NW;1110;38.89967;-77.04154
31250;20th & L St NW;1106;38.90357;-77.04481
31117;15th & Euclid St NW;1081;38.92335;-77.03518
31652;4th & M St SE;1080;38.87679;-77.00075
31620;5th & F St NW;1075;38.89722;-77.01934
31274;10th & G St NW;1058;38.89825;-77.02623
31276;15th & L St NW;1051;38.90366;-77.03491
31123;14th & Girard St NW;1047;38.92529;-77.03237
31224;18th & L St NW;1043;38.90373;-77.04245
31314;34th & Water St NW;1031;38.90373;-77.06753
31638;1st & H St NW;1031;38.90036;-77.01212
31332;11th & V st NW;1029;38.91819;-77.02714
31657;Massachusetts Ave & 6th St NE;1023;38.89294;-76.99827
31260;23rd & E St NW ;1020;38.89611;-77.04986
31631;8th & F St NE;1015;38.89727;-76.99475
31668;1st St & Potomac Ave SE;1006;38.87184;-77.00591
31634;3rd & Tingey St SE;999;38.87500;-77.00241
31509;New Jersey Ave & R St NW;992;38.91267;-77.01766
31640;Maryland Ave & E St NE;991;38.89622;-76.99279
31663;14th & D St SE;990;38.88406;-76.98635
31517;Union Market;988;38.90791;-76.99707
31293;Thomas Jefferson St NW & Water/K St NW;986;38.90282;-77.06016
31606;Potomac & Pennsylvania Ave SE;982;38.88030;-76.98621
31401;14th St & Spring Rd NW;979;38.93749;-77.03282
31519;1st & O St NW;979;38.90864;-77.01237
31227;13th St & New York Ave NW;972;38.90028;-77.02983
31636;New Jersey Ave & N St NW/Dunbar HS;957;38.90734;-77.01536
31254;15th & K St NW;947;38.90200;-77.03354
31633;Independence Ave & L'Enfant Plaza SW/DOE;937;38.88731;-77.02576
31122;16th & Irving St NW;922;38.92888;-77.03625
31622;13th & D St NE;911;38.89483;-76.98763
31400;Georgia & New Hampshire Ave NW;907;38.93672;-77.02417
31121;Calvert St & Woodley Pl NW;887;38.92358;-77.05005
31605;3rd & D St SE;887;38.88510;-77.00229
31661;8th & H St NE;886;38.89993;-76.99490
31297;Virginia Ave & 25th St NW;883;38.89846;-77.05305
31527;North Capitol & R St NE;874;38.91252;-77.00879
31216;14th St & New York Ave NW;857;38.89963;-77.03169
31217;USDA / 12th & C St SW;857;38.88629;-77.02824
31292;22nd St & Constitution Ave NW;849;38.89244;-77.04895
31204;20th & E St NW;847;38.89630;-77.04499
31062;Roosevelt Island;839;38.89655;-77.06714
31645;6th & K St NE;822;38.90294;-76.99840
31253;19th & K St NW;815;38.90220;-77.04339
31208;M St & New Jersey Ave SE;811;38.87631;-77.00370
31235;19th St & Constitution Ave NW;810;38.89231;-77.04360
31518;New York Ave & Hecht Ave NE;810;38.91560;-76.98368
31111;10th & U St NW;805;38.91720;-77.02590
31947;Rosslyn Metro / Wilson Blvd & N Moore St;805;38.89608;-77.07146
31218;L'Enfant Plaza / 7th & C St SW;801;38.88627;-77.02224
31014;Lynn St & 19th St North;782;38.89734;-77.07095
31642;New Jersey Ave & K St NW;773;38.90258;-77.01367
31255;24th & N St NW;769;38.90660;-77.05149
31672;10th & H St NE;766;38.89998;-76.99272
31419;Georgia Ave & Morton St NW;762;38.93212;-77.02349
31647;7th St & Massachusetts Ave NE;755;38.89222;-76.99601
31279;19th & G St NW;751;38.89841;-77.04319
31273;Hains Point/Buckeye & Ohio Dr SW;745;38.87843;-77.03023
31608;8th & Eye St SE / Barracks Row;744;38.87920;-76.99529
31629;8th & East Capitol St NE;737;38.88999;-76.99519
31127;22nd & H St NW;732;38.89893;-77.04885
31262;11th & F St NW;723;38.89784;-77.02700
31325;Reservoir Rd & 38th St NW;720;38.91263;-77.07433
31071;Eads St & 12th St S;716;38.86276;-77.05429
31268;12th & U St NW;712;38.91678;-77.02814
31007;Crystal City Metro / 18th St & S Bell St;707;38.85777;-77.05169
31659;11th & C St SE;700;38.88591;-76.99148
31005;Pentagon City Metro / 12th St & S Hayes St;697;38.86230;-77.05993
31626;15th St & Massachusetts Ave SE;696;38.88732;-76.98357
31022;Clarendon Metro / Wilson Blvd & N Highland St;690;38.88701;-77.09526
31100;19th St & Pennsylvania Ave NW;686;38.90029;-77.04290
31644;12th St & Pennsylvania Ave SE;683;38.88249;-76.99012
31252;21st St & Pennsylvania Ave NW;675;38.90154;-77.04658
31648;Potomac Ave & Half St SW;673;38.86968;-77.01081
31089;Court House Metro / 15th St & N Uhle St;664;38.89060;-77.08481
31077;Iwo Jima Memorial / Meade & 14th St N;655;38.88992;-77.07130
31630;15th & East Capitol St NE;644;38.88991;-76.98334
31006;Army Navy Dr & S Joyce St;641;38.86331;-77.06341
31660;8th & K St NE;637;38.90273;-76.99515
31294;7th & E St SW;634;38.88345;-77.02174
31632;15th & F St NE;626;38.89719;-76.98357
31261;21st St & Constitution Ave NW;621;38.89246;-77.04657
31284;18th & C St NW;621;38.89351;-77.04154
31226;34th St & Wisconsin Ave NW;620;38.91645;-77.06820
31106;Calvert & Biltmore St NW;613;38.92320;-77.04764
31522;2nd St & Seaton Pl NE;593;38.91474;-77.00356
31220;US Dept of State / Virginia Ave & 21st St NW;587;38.89491;-77.04659
31307;3000 Connecticut Ave NW / National Zoo;581;38.93030;-77.05560
31306;39th & Calvert St NW / Stoddert;567;38.92264;-77.07725
31211;Kennedy Center;566;38.89730;-77.05556
31011;Crystal Dr & 23rd St S;559;38.85293;-77.04972
31105;14th & Harvard St NW;556;38.92679;-77.03220
31003;Crystal Dr & 15th St S;543;38.86105;-77.04941
31664;Half & Water St SW;538;38.86628;-77.01055
31404;9th & Upshur St NW;537;38.94177;-77.02510
31302;Wisconsin Ave & Newark St NW;536;38.93490;-77.07276
31305;Connecticut Ave & Macomb St NW / Cleveland Park;524;38.93364;-77.05755
31002;Crystal Dr & 20th St S;519;38.85642;-77.04924
31524;Montello Ave & Holbrook Terr NE;517;38.90742;-76.98684
31667;2nd & V St SW / James Creek Marina;517;38.86374;-77.01381
